"url","page_type","cluster","day_30_action","day_60_action","day_90_action","current_action","evidence_status","next_issue"
"/tools/launch-blueprint-fit-checker/","tool","launch_blueprint","measure_tool_completion","review_payment_assist","keep_or_rewrite","keep","new_route;commercial_validation_needed","Measure checker starts, copies, pricing exits, and PayPal clicks before increasing paid traffic"
"/tools/route-confidence-checker/","tool","launch_blueprint","measure_tool_completion","review_route_confidence_objections","keep_or_rewrite","keep","new_route;route_authority_needed","Measure route confidence checker starts, copied verdicts, route-basis exits, fit-checker exits, and objections about route authority"
"/templates/starter-pack/","template","starter_pack","keep","measure_download_signal","keep_or_expand","keep","technical_seo_pass;download_ready","Measure starter pack downloads and query exposure after analytics endpoint"
"/templates/seo-repo-skeleton/","template","seo_repo_skeleton","keep","measure_template_copy","keep_or_rewrite","keep","technical_seo_pass;template_copy_ready","Measure template_copy_click after real endpoint"
"/checklists/ai-content-quality-gate/","checklist","ai_content_quality_gate","keep","measure_checklist_copy","keep_or_rewrite","keep","technical_seo_pass;checklist_copy_ready","Measure checklist_copy_click after real endpoint"
"/checklists/programmatic-seo-gate/","checklist","programmatic_seo_gate","keep","review_pseo_queries","keep_or_merge","keep","technical_seo_pass;checklist_copy_ready","Review pSEO query exposure and checklist_copy_click at Day 30"
"/checklists/gsc-bing-indexnow-launch/","checklist","search_console_launch","keep","add_console_screenshots","keep_or_expand","keep","technical_seo_pass;source_pack_ready","Add GSC and Bing screenshots or exported status after 7 day data window"
"/checklists/ai-citation-readiness/","checklist","ai_citation_readiness","keep","add_crawler_log_examples","keep_or_expand","keep","source_pack_ready","Add crawler access evidence, Cloudflare bot setting screenshot, and first AI referral examples after data exists"
"/checklists/launch-validation-decision-gate/","checklist","launch_blueprint","apply_decision_gate","review_signal_quality","keep_rewrite_reprice_pivot_or_stop","keep","new_route;decision_gate_ready","Use this page to decide whether weak launch signals require continuing, rewriting, repricing, narrowing, pivoting to implementation, or stopping before adding more content"
"/checklists/route-file-delivery-gate/","checklist","launch_blueprint","measure_delivery_gate_use","rewrite_if_gate_does_not_change_completion_decisions","keep_if_it_clarifies_route_handoff","keep","new_route;delivery_gate","Measure delivery gate views, sample route exits, client workflow exits, prompt pack exits, and repeated blockers before delivery"
"/guides/ai-search-friendly-robots-txt/","guide","ai_crawler_readiness","keep","add_cdn_waf_examples","keep_or_expand","keep","new_route;source_pack_ready","Add Cloudflare robots and WAF evidence only after account-level settings are exported or screenshotted"
"/guides/indexnow-cloudflare-pages/","guide","search_console_launch","keep","add_indexnow_response_history","keep_or_rewrite","keep","new_route;source_pack_ready","Record IndexNow response codes after each production deployment and compare with Bing crawl status"
"/guides/gsc-bing-sitemap-verification/","guide","search_console_launch","keep","add_console_status_examples","keep_or_rewrite","keep","new_route;source_pack_ready","Add GSC and Bing sitemap status evidence after first crawl window"
"/guides/ai-citation-grounding-metrics/","guide","ai_citation_grounding_metrics","keep","update_with_bing_data","keep_or_rewrite","keep","technical_seo_pass","Calibrate terms after Bing AI Performance data"
"/guides/small-website-ai-visibility-metrics/","guide","ai_visibility_metrics","keep","add_real_gsc_bing_examples","keep_or_rewrite","keep","technical_seo_pass;source_pack_ready","Add first GSC and Bing screenshots or exported metrics after data arrives"
"/evidence/","evidence","trust_and_policy","keep","add_real_console_exports","keep_or_expand","keep","technical_seo_pass;search_evidence_contract_ready","Add GSC, Bing, AI referral, onsite event, and revenue evidence only after real exports or records exist"
"/reports/route-evidence-dashboard/","report","trust_and_policy","keep","compare_route_actions","keep_or_expand","keep","dashboard_ready;source_snapshot_needed","Regenerate growth evidence snapshot after every route batch and compare pending evidence by page type"
"/reports/route-basis/","report","launch_blueprint","keep","measure_source_link_clicks","keep_or_rewrite","keep","new_route;route_basis_ready","Measure source-link clicks, route method clicks, feedback thread clicks, and objections about route authority"
"/reports/agentsiteops-route-run/","report","launch_blueprint","measure_self_run_views","rewrite_if_route_run_does_not_improve_internal_planning","keep_or_rewrite","keep","self_use_route;route_run_ready","Measure self-run views, research workspace exits, evidence-ledger exits, and whether the route run changes internal project decisions"
"/templates/evidence-ledger-template/","template","trust_and_policy","keep","measure_template_copy","keep_or_expand","keep","new_route;template_ready","Measure template copy or source-link clicks before creating more evidence templates"
"/templates/website-opportunity-scoring-template/","template","website_opportunity_scoring","keep","measure_template_copy","keep_or_expand","keep","new_route;template_ready","Measure scorer usage and template copy before expanding scoring variants"
"/methodology/website-opportunity-scoring/","methodology","website_opportunity_scoring","keep","review_model_feedback","keep_or_rewrite","keep","technical_seo_pass","Update model only when evidence changes"
"/methodology/route-selection/","methodology","launch_blueprint","measure_methodology_views","review_route_confusion","keep_or_rewrite","keep","new_route;route_library_ready","Measure route methodology views, sample exits, pricing exits, and repeated questions about route selection"
"/guides/first-traffic-system/","guide","growth_validation","run_first_exposure_loop","review_channel_signals","keep_rewrite_or_stop","keep","new_route;first_traffic_plan_ready","Record indexed URLs, referrals, sample views, PayPal clicks, qualified replies, and objections by channel"
"/guides/48-hour-exposure-sprint/","guide","growth_validation","run_48_hour_sprint","decide_continue_rewrite_narrow_pivot_or_stop","keep_rewrite_or_stop","keep","active_sprint;exposure_validation_needed","Record referral visits, source clicks, sample views, PayPal clicks, qualified replies, confirmed payments, usable intake, and objections within 48 hours"
"/launch-kit/","launch","growth_validation","measure_launch_kit_views","review_sample_and_source_exits","keep_rewrite_or_stop","keep","new_route;exposure_entry_ready","Measure launch kit views, sample exits, fit-checker exits, source-link clicks, PayPal clicks, qualified replies, and objections within the 48-hour window"
"/answers/validate-ai-service-offer-before-building/","answer","launch_blueprint","measure_answer_view_and_fit_exit","review_offer_validation_objections","keep_rewrite_or_merge","keep","answer_entry;commercial_validation_needed","Measure answer views, fit-checker exits, sample exits, pricing exits, qualified replies, and objections about pre-build validation"
"/answers/ai-service-route-vs-generic-chatgpt/","answer","launch_blueprint","measure_answer_view_and_basis_exit","review_route_authority_objections","keep_rewrite_or_merge","keep","answer_entry;route_authority_needed","Measure answer views, route-basis exits, sample exits, comparison exits, and objections about why the route is better than generic AI advice"
"/answers/when-to-stop-an-ai-website-idea/","answer","growth_validation","measure_answer_view_and_gate_exit","review_stop_rule_objections","keep_rewrite_or_merge","keep","answer_entry;stop_rule_needed","Measure answer views, validation-gate exits, sprint exits, evidence-ledger exits, and repeated stop or pivot objections"
"/authors/","trust_page","trust_and_policy","keep","review_owner_info","keep","keep","technical_seo_pass","Replace placeholder owner info before launch"
"/editorial-policy/","trust_page","trust_and_policy","keep","review_policy_fit","keep","keep","technical_seo_pass","Recheck before content expansion"
"/privacy/","trust_page","trust_and_policy","keep","review_tracking_boundary","keep","keep","technical_seo_pass;event_buffer_disclosed","Update before external endpoint or cookies"
"/disclosure/","trust_page","trust_and_policy","keep","review_commercial_status","keep","keep","technical_seo_pass","Update before ads, affiliate, sponsor, or paid recommendations"
"/updates/","log","trust_and_policy","keep","continue_logging","keep","keep","technical_seo_pass","Append every major execution step"
/website-opportunity-audit/,service,launch_blueprint,measure_payment_or_intake,rewrite_or_expand_if_intent_exists,keep_pivot_or_productize,keep,new_route;commercial_validation_needed,"Measure PayPal clicks, intake submissions, and qualified replies"
/pricing/,pricing,launch_blueprint,measure_route_file_payment_or_intake,rewrite_if_route_file_price_or_scope_is_unclear,keep_pivot_or_productize,keep,new_route;route_file_pricing,"Measure Fit Review PayPal clicks, Route File PayPal clicks, sample exits, delivery gate exits, usable intake, qualified replies, and objections about manual delivery or no guarantees"
/sample/,example,launch_blueprint,measure_route_file_sample_use,rewrite_if_handoff_structure_is_unclear,keep_if_sample_clarifies_delivery,keep,new_route;route_file_sample,"Measure sample route-file views, client workflow exits, research workflow exits, and whether visitors understand selected route rejected alternatives evidence ledger and stop rule"
/compare/,comparison,launch_blueprint,measure_payment_or_intake,rewrite_or_expand_if_intent_exists,keep_pivot_or_productize,keep,new_route;commercial_validation_needed,"Measure comparison page exits to sample pricing buy and source links"
/starter-review/,commerce,launch_blueprint,measure_starter_payment_or_intake,rewrite_or_expand_if_intent_exists,keep_pivot_or_productize,keep,new_route;commercial_validation_needed,"Measure Fit Review PayPal clicks, confirmed payments, usable intake, verdict outcomes, and upsell or stop decisions"
/buy/,commerce,launch_blueprint,measure_payment_or_intake,rewrite_or_expand_if_intent_exists,keep_pivot_or_productize,keep,new_route;commercial_validation_needed,"Measure PayPal clicks, intake submissions, and qualified replies"
/intake/,intake,launch_blueprint,measure_payment_or_intake,rewrite_or_expand_if_intent_exists,keep_pivot_or_productize,keep,new_route;commercial_validation_needed,"Measure PayPal clicks, intake submissions, and qualified replies"
/review-status/,product_state,launch_blueprint,measure_review_status_use,rewrite_if_response_states_remain_unclear,keep_if_it_reduces_submission_confusion,keep,new_route;review_status,"Measure review status views, state tab selections, response copy events, scope exits, plan repair exits, blocked example exits, and delivery gate exits"
/terms/,trust_page,trust,keep_trust_boundary,review_policy_accuracy,keep_if_current,keep,trust_boundary_ready,"Review after payment, privacy, or service scope changes"
/refund-policy/,trust_page,trust,keep_trust_boundary,review_policy_accuracy,keep_if_current,keep,trust_boundary_ready,"Review after payment, privacy, or service scope changes"
/disclaimer/,trust_page,trust,keep_trust_boundary,review_policy_accuracy,keep_if_current,keep,trust_boundary_ready,"Review after payment, privacy, or service scope changes"
/contact/,trust_page,trust,keep_trust_boundary,review_policy_accuracy,keep_if_current,keep,trust_boundary_ready,"Review after payment, privacy, or service scope changes"
/templates/route-research-prompt-pack/,template,launch_blueprint,measure_prompt_pack_use,rewrite_or_expand_if_research_outputs_improve_routes,keep_if_used_for_internal_projects,keep,new_route;research_foundation,"Measure prompt pack views, source-link exits, copied prompt usage, and whether completed research changes the route library"
/reports/client-route-workflow/,report,launch_blueprint,measure_client_workflow_use,rewrite_if_progress_state_is_unclear,keep_if_clients_understand_route_delivery,keep,new_route;client_progress_surface,"Measure route workflow views, research workflow exits, sample route exits, and whether clients understand what is and is not delivered"
